order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
bdfb1291e4ef723cd8a5c3ce9248a9cd,c310eaec759cdf653cb11ac87ba6b8c3,delivered,2017-03-03 12:47:59,2017-03-04 13:47:59,2017-03-06 13:47:59,2017-03-12 13:47:59,2017-03-14 13:47:59
e8fae3a16dc66d4bb2bc742ecadf55ac,453cd2fbb4f3dfb257b7b122bad2a3bc,delivered,2017-06-13 12:53:00,2017-06-14 01:53:00,2017-06-18 01:53:00,2017-06-21 01:53:00,2017-06-27 01:53:00
7ff2277d6b24b8207bb6bf6bd3dfd980,252b6baae5c1eede9ef823faee6d0742,delivered,2017-12-29 09:19:34,2017-12-30 06:19:34,2017-12-31 06:19:34,2018-01-08 06:19:34,2018-01-15 06:19:34
afffdeede2aee537be7adec7bf6e9de4,d6c662c6adab0f1f8dfd190a146ca9a7,delivered,2017-09-20 06:47:28,2017-09-21 03:47:28,2017-09-24 03:47:28,2017-09-30 03:47:28,2017-10-06 03:47:28
58a0a72aec5887ccc50aad8a13bfaefa,bff2cfb9ce1ded91cbc3cab8c7f5a3ac,delivered,2018-04-11 16:13:43,2018-04-12 08:13:43,2018-04-13 08:13:43,2018-04-22 08:13:43,2018-04-23 08:13:43
eccdad5de3ff452583eddf3dafa81692,9f9e22c17a2d681e49aeaef4ec1e2cf3,delivered,2018-04-17 00:26:26,2018-04-18 02:26:26,2018-04-19 02:26:26,2018-04-24 02:26:26,2018-04-26 02:26:26
bd56f1d94eac845c018fe7e9ce92ebbb,fcc0bdc92cbd74dedc94bd061e8d49be,delivered,2017-05-22 21:18:44,2017-05-23 18:18:44,2017-05-25 18:18:44,2017-06-03 18:18:44,2017-06-04 18:18:44
bca79ddb88671173fdcfffc2f280af9d,2277baacd74116e8ce79c9acb6d163ae,delivered,2018-06-06 01:32:18,2018-06-07 01:32:18,2018-06-09 01:32:18,2018-06-12 01:32:18,2018-06-18 01:32:18
c5cbeec6afa83cf6c92ebf815ff91c9e,ac7ad1492220da43adfbee6b5bab16be,delivered,2017-04-17 06:17:53,2017-04-17 21:17:53,2017-04-19 21:17:53,2017-04-21 21:17:53,2017-04-28 21:17:53
dd69ee5bd3ccd02fee20eea099638d1c,26f25110f52504cb96d5beab8fe3aaf2,delivered,2018-08-31 08:57:19,2018-08-31 10:57:19,2018-09-04 10:57:19,2018-09-16 10:57:19,2018-09-17 10:57:19
cdd9b06dbaecbec2b75d9ab5104fbaeb,3800a46ab0626c9d5d13adf9bbd5d1db,delivered,2017-07-29 13:59:35,2017-07-31 00:59:35,2017-08-03 00:59:35,2017-08-07 00:59:35,2017-08-12 00:59:35
caf2c725bea2f7c3a78aea1d778292de,6e31dd382fcccdba3fffa78a6fb0ad9b,delivered,2017-02-12 07:18:28,2017-02-13 08:18:28,2017-02-17 08:18:28,2017-02-24 08:18:28,2017-02-24 08:18:28
2d5cb98a4c743ba5448afee1af4d8ab9,a7cbd81aecc93296ae2b674bf63ef6da,delivered,2018-07-16 02:44:03,2018-07-17 05:44:03,2018-07-20 05:44:03,2018-07-25 05:44:03,2018-08-01 05:44:03
3b7edabaffccfe63eb497ebfa3a7dadd,c0ec00f4bfdbedbea696ac2effcacb6f,delivered,2017-09-23 02:53:18,2017-09-23 22:53:18,2017-09-24 22:53:18,2017-10-01 22:53:18,2017-10-01 22:53:18
bcfa56ae4aef020fb3d5e8c4eff9e2cd,bbcf4feacef457ecdc4fb6ece8e03d0d,delivered,2017-07-16 17:50:53,2017-07-16 18:50:53,2017-07-19 18:50:53,2017-07-19 18:50:53,2017-07-25 18:50:53
cd6c7fdec5992e3b124fceeb2ea5ce5b,c1dcf0ee84ac480d93a178de8fcd7acd,delivered,2017-10-29 06:38:24,2017-10-29 14:38:24,2017-10-31 14:38:24,2017-11-12 14:38:24,2017-11-12 14:38:24
ddabb0d2ce4b4cb6a6fc6bfdfbfad2b4,cbb05cd319dd7f0a7bcea3b8151cfdbf,delivered,2018-03-01 07:48:05,2018-03-01 09:48:05,2018-03-02 09:48:05,2018-03-09 09:48:05,2018-03-09 09:48:05
ef4a7af41eb65fb05e81b41bcdbf2665,13c76b3bdd115f7acbd9dc2e79cb3f56,delivered,2017-02-13 12:01:44,2017-02-14 09:01:44,2017-02-16 09:01:44,2017-02-22 09:01:44,2017-02-27 09:01:44
f0eafce772dee45dbb3bc2c5f22f4b09,2c75ee0c26cc6ea5cacfc1deb9d0ad0d,delivered,2018-06-14 02:20:56,2018-06-14 09:20:56,2018-06-17 09:20:56,2018-06-20 09:20:56,2018-06-26 09:20:56
5bf9b7eefde65f6f1c5dbb4e37af4bfc,bfdc9ef527e937ddce5e7feccabafcba,delivered,2017-04-30 19:02:20,2017-05-01 03:02:20,2017-05-04 03:02:20,2017-05-23 03:02:20,2017-05-13 03:02:20
d4b15fc71addadf2dbdcfdad2c046b62,20b9c1dee1d8dc6f9e62acf343dcbb04,delivered,2017-01-14 16:45:51,2017-01-14 17:45:51,2017-01-17 17:45:51,2017-01-24 17:45:51,2017-01-29 17:45:51
c6e817d7339daa0678fdeac95eb08bfd,25ef2f7d0ffe47ec1da74dda919bb42a,delivered,2017-06-25 11:05:58,2017-06-25 20:05:58,2017-06-28 20:05:58,2017-07-10 20:05:58,2017-07-12 20:05:58
56f778b40f0e1fbb965e5feef964a730,f0dfbcfa8a41abedb7e0ed7b719cf418,delivered,2017-03-31 15:25:13,2017-04-01 01:25:13,2017-04-02 01:25:13,2017-04-10 01:25:13,2017-04-11 01:25:13
38a4dadeabea4ffba6abc1bf7bf9d63a,068bb7a6730c04838c98e9b7a72d04d8,delivered,2018-06-03 11:43:00,2018-06-03 21:43:00,2018-06-07 21:43:00,2018-06-08 21:43:00,2018-06-15 21:43:00
d3fca60b75dc2bdea5d710c0f230d7af,87a4cd5cea68cc70cf96bafbae093b0f,delivered,2018-02-15 05:00:25,2018-02-16 14:00:25,2018-02-20 14:00:25,2018-02-25 14:00:25,2018-02-25 14:00:25
ec169ee62eff9df50ce0bfb58ed7777b,df5c7ebaad1749b0a0ed06ce9c70c15b,delivered,2017-02-10 08:18:31,2017-02-11 02:18:31,2017-02-12 02:18:31,2017-03-05 02:18:31,2017-02-26 02:18:31
7a2bb3009f1feeb7e8d56766f0a9dcee,0c6b3aeb6bce0ef9506a1df4e6a20507,delivered,2018-02-20 05:56:04,2018-02-21 06:56:04,2018-02-22 06:56:04,2018-02-24 06:56:04,2018-03-02 06:56:04
faa640a1a2c92df9adaafce5970dcdec,bf3c63bfbeee13fde69dacded9cb1f2f,delivered,2017-11-18 04:12:25,2017-11-19 03:12:25,2017-11-21 03:12:25,2017-12-04 03:12:25,2017-12-05 03:12:25
81b6ed180a7bd92a58d11cab16e50cd3,9f3ffc6e98eb4ce203919e7bffb9cf06,delivered,2017-09-11 21:37:51,2017-09-12 19:37:51,2017-09-14 19:37:51,2017-09-22 19:37:51,2017-09-23 19:37:51
adab7abbb48f35e7bcfa5ef35c2f6f28,f1d3a8fecfc7efa8b6f4c82acbcfa33f,delivered,2017-06-19 05:57:48,2017-06-19 11:57:48,2017-06-20 11:57:48,2017-06-27 11:57:48,2017-06-30 11:57:48
aad259cbc7fa6ee31aa39da6fbbdbce6,ee3def7ad4bd0d1967dea340edd1c0ba,delivered,2018-07-26 09:52:42,2018-07-27 09:52:42,2018-07-29 09:52:42,2018-07-30 09:52:42,2018-08-04 09:52:42
7f793de5bc9afdadda353983ef43e5f1,3df1676e8f79835dc5e03cef5bdfaade,delivered,2018-02-11 10:27:57,2018-02-11 15:27:57,2018-02-13 15:27:57,2018-02-13 15:27:57,2018-02-19 15:27:57
f4f56b7cb58eba0aced2ac3a9bc61b4e,b2caa84ab895d8fe88dbde96cdbdc83a,delivered,2018-05-29 00:30:24,2018-05-30 03:30:24,2018-06-02 03:30:24,2018-06-07 03:30:24,2018-06-13 03:30:24
4fab00fb9e1dc7fa88dfccfddebcfabf,dbb5fcc9931d4e4cddc436c6f73ac562,delivered,2017-05-17 00:04:53,2017-05-18 02:04:53,2017-05-21 02:04:53,2017-05-23 02:04:53,2017-05-28 02:04:53
c45ddbb7e4cddf8bb0c9beab584481d9,636de3da5d40e95e193bb152ea968dba,delivered,2017-09-30 13:07:17,2017-10-01 20:07:17,2017-10-05 20:07:17,2017-10-08 20:07:17,2017-10-15 20:07:17
7698d8ccfb4bbcebcf64da88ced98d3b,c9cbfe3d1dd971e9fe1a1e0a4cc48e34,delivered,2017-10-08 17:37:54,2017-10-09 21:37:54,2017-10-12 21:37:54,2017-10-20 21:37:54,2017-10-23 21:37:54
ba4e3db4b8aa67a1c9fbdeb9bb9e691b,c5d92ecd8a1b00a1cda9d832763cf44b,delivered,2018-08-25 15:24:22,2018-08-25 23:24:22,2018-08-29 23:24:22,2018-09-08 23:24:22,2018-09-09 23:24:22
e264810723a7c25d0c00945f713ab0ce,d792e7aabc62c33cd479907cf1df15cb,delivered,2017-02-17 02:44:12,2017-02-17 22:44:12,2017-02-21 22:44:12,2017-02-28 22:44:12,2017-03-02 22:44:12
ed6a0d93cafcae3a7a0b4d50dba29eb4,c2009cfc6205cdf15ae0b2fdb5af76cf,delivered,2018-04-02 12:07:22,2018-04-03 07:07:22,2018-04-07 07:07:22,2018-04-10 07:07:22,2018-04-14 07:07:22
