review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
6e203cbfa6f4e9c3ccd8dc26e56eab21,bdfb1291e4ef723cd8a5c3ce9248a9cd,5,,,2017-03-14 13:47:59,2017-03-16 13:47:59
bbc6b2bb9bca2e6fba8ad3bbd7df7d9b,e8fae3a16dc66d4bb2bc742ecadf55ac,4,,,2017-06-23 01:53:00,2017-06-25 01:53:00
b6dfdea0b6c50f3eeeffe3f6dafbd388,7ff2277d6b24b8207bb6bf6bd3dfd980,4,,,2018-01-10 06:19:34,2018-01-12 06:19:34
b12de1a86d7fe9d5fc77c9acc95bae6e,afffdeede2aee537be7adec7bf6e9de4,4,,,2017-10-02 03:47:28,2017-10-04 03:47:28
df5746ee65cad2eb9ceba15eb46689fe,58a0a72aec5887ccc50aad8a13bfaefa,5,,,2018-04-24 08:13:43,2018-04-26 08:13:43
cdecdffaa4b357bcc7a86b696e9ccf41,eccdad5de3ff452583eddf3dafa81692,4,,,2018-04-26 02:26:26,2018-04-28 02:26:26
ff7707f1072ba7173bbdbe9f5c1236be,bd56f1d94eac845c018fe7e9ce92ebbb,4,,,2017-06-05 18:18:44,2017-06-07 18:18:44
7d2ec6bedeaf1364fafb24b2bfbbe7fd,bca79ddb88671173fdcfffc2f280af9d,4,,,2018-06-14 01:32:18,2018-06-16 01:32:18
bf6bc3cddcaea2038711aae2e6dfe91c,c5cbeec6afa83cf6c92ebf815ff91c9e,5,,,2017-04-23 21:17:53,2017-04-25 21:17:53
abed1bf8fcdf0bacdc6ec52b2a8dbaeb,dd69ee5bd3ccd02fee20eea099638d1c,3,,,2018-09-18 10:57:19,2018-09-20 10:57:19
e4c5af10f5a1e5ae8eaabdb2a0e0cc37,cdd9b06dbaecbec2b75d9ab5104fbaeb,4,,,2017-08-09 00:59:35,2017-08-11 00:59:35
ab27fd7f8efbcd6e1fc33ddfffac0a3c,caf2c725bea2f7c3a78aea1d778292de,4,,,2017-02-26 08:18:28,2017-02-28 08:18:28
64a9651fa6addccbf96fb1cbebc17578,2d5cb98a4c743ba5448afee1af4d8ab9,5,,,2018-07-27 05:44:03,2018-07-29 05:44:03
4b849deff1fdeeecf298c7085f24eecc,3b7edabaffccfe63eb497ebfa3a7dadd,4,,,2017-10-03 22:53:18,2017-10-05 22:53:18
d14ed3edb97acf16c3f3ec229bc5bf20,bcfa56ae4aef020fb3d5e8c4eff9e2cd,5,,,2017-07-21 18:50:53,2017-07-23 18:50:53
170cbd3c0caaac9fd91bbec3eb43cf27,cd6c7fdec5992e3b124fceeb2ea5ce5b,4,,,2017-11-14 14:38:24,2017-11-16 14:38:24
0f9358eb5e27ede62cab9c818cbcb07d,ddabb0d2ce4b4cb6a6fc6bfdfbfad2b4,3,,,2018-03-11 09:48:05,2018-03-13 09:48:05
f6abcacf5fea3622cf06cb4193bc2d81,ef4a7af41eb65fb05e81b41bcdbf2665,4,,,2017-02-24 09:01:44,2017-02-26 09:01:44
c5dc071509d4aeabbaab36587038bb12,f0eafce772dee45dbb3bc2c5f22f4b09,4,,,2018-06-22 09:20:56,2018-06-24 09:20:56
adebf8a16df56fabebeacd580a6bfbb4,5bf9b7eefde65f6f1c5dbb4e37af4bfc,2,,,2017-05-25 03:02:20,2017-05-27 03:02:20
