customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
e064aed1904b04eb4cb0bf73f722cdba,bf8ccdccf1561526d8845eed3a38fecf,65801,salvador,BA
50654ed6e8ea55c5cd84fb212db918fb,fc0feb5e299ed5b3ed6ed3abbb070edc,44448,goiania,GO
55c1abfb2ee3bdfeaff8e8d9510cc0f1,107b6abfdc5a82e79d1ee1ab24b34ad1,20945,curitiba,PR
1fcfec3a4818f5ba9ffcf36fcba1cbc3,f14de52d5dd9cbe4f58e66a1aff145ed,10323,interior,RN
83cfdfe0b6ee222c5df4d5adc2960ae5,ac901ddccc326dbcd452bd8d3edfbd0a,72029,joinville,SC
b9ea53f80a4e7cd4e861b7bec70d5cf0,d7b9f2d409bbfea49eede2dbe7fc4e8a,78819,campinas,SP
d6c069cea94adb31bd7cae4405ac19d4,fa5e0aa293fb15cabefdeddfbccdaa55,50534,nova iguacu,RJ
6ba59f57d1383497a1c8ae0dcae68dcb,abda6a8ebfcefbdde19d357a7d6e9caa,37708,interior,PA
f7ebeae4032ec4fa3da2cf206ef8f1fd,2acd2fb798b7cc2fdcf9af5bba9a5cc1,40838,caxias do sul,RS
5ad80c44b7df60e1faafeab24f6cab9a,7f55242ba44affb624530b6fcf2dadca,82452,niteroi,RJ
7f5c21acf3be15c9ddb8d6c9c1f2ad51,5c38fa066c155bcb4243531bdce9a685,10121,santos,SP
a109752fccefe50aaee3cda277ec7f6e,bca67f8bfeb947ada4ce9f2fd53cc2fe,55903,santo andre,SP
ee3e6f9aaa34da31ac7b50fcced9a7a8,edf58c96ae8fbe3f2f72c2e03df1b5d8,28398,brasilia,DF
ccc86fad01defa92dd9fd1b683bcb31d,d5e3a550bde397ce95c48a5ccf6fe6cf,63534,florianopolis,SC
eacdb5b445aae32d0b082e794bd8b53e,ef6dba1a4ee8cc18528a58e8eade7ded,07724,santo andre,SP
e683e6a2d29eae9a392a8e089ec2fbf7,842caeed0b52c1a44d73d0c3253e00b5,97098,recife,PE
05292197d94dfde6e0fc92f9d732dcf8,d6b9b2edcd9d9c8a665efa219a821fce,76229,feira de santana,BA
7eadffd7c4e42c8acbcfcde0ec53f670,dc83d0a4978fbc113de5ea96a296eae0,20269,niteroi,RJ
f14eaa62a92b5ce78a9a1698e68f3eaf,792981da4b1db4b7fe32533a1edacced,55109,santos,SP
7f69adbd71a086ef1d8cea0dc4dbf9bc,f1e0ffbd8e8be1d77c85cfd31ee6ee2f,16274,curitiba,PR
68bbecafbe97734ea431c2acd07a283c,ab399e596a9b6bac8efa68bfbb35edc2,37297,florianopolis,SC
6a6d39e49701b5f80eceb36cf3f9015c,cfb26619ba2dd0b539d59e1f1bbfc8ad,96782,guarulhos,SP
50b7adaa70cb3bafdb1ba6040ebfb5a4,7bd728dad8faaebbf1dcc71e6d9f70d7,08557,santo andre,SP
6fe1e7bee3db01b88cdee8acb8e52aa8,c559f6ea2c9d91fc771bdcfeebb243b0,47485,santos,SP
caf2d18fa99c261ab2ccca2bdcb63e4e,b614f6dd2edc3dd7e0d1ea54cd0dce65,68960,santo andre,SP
6119a4d6facf28c7a55268d5d37c6aab,a60ebf471adeabc9daa88c4c1ba6fe2f,48094,santo andre,SP
8fc83d800fbb3d3e78dcdbbaca07296d,ddd5efc51abfb8c5cf49994bdacafbcf,94089,londrina,PR
b63e77afefd45c4f664f67eb62e8fcfb,66f795a4bef3dc5ebe19f2a0ce8eda4f,44277,goiania,GO
61ae5ac0e9ce0cb4ad606de79ebd2b6b,7aef076e4de89782fae08957cc575ea3,10625,londrina,PR
fee84faaf8feabcaedbbb7e2cd4b3c9e,fad9129cce6050419fb1dfa632eaf8d9,31923,goiania,GO
8febe73bba4006ebbc576ef2b9ad0420,df1a854d1b6ba7de763e461eded9afee,84326,brasilia,DF
f864b54c3a199b857198bc18d01bce44,d6d44aaaeff8576ae67dabfa7461da0c,39359,santos,SP
c9378caef5cfea3b3faebe10ceea9c5f,0b8dedaa0c0b6f0bebe2234bb5888cf4,64038,curitiba,PR
eca28c103a9bcc2b04dda11edc0e6fca,f8135c8d7a3ffbf19c7af8b06fa7e9ee,14835,sao paulo,SP
a65158b3872e9a219cb21cdbd09bfcf5,bf3553366b7efada208c8c99ced6dfa3,79886,santo andre,SP
f6fac58b82cdceceaf96fcb9ad5efb1f,a8befbb7dbe1ae7e0fe8af905bbcc98a,78904,curitiba,PR
7029f2e36a4aa9f76b2cee3f533cf584,e90d4d8f4ab12d47a5cbeddc7cdbf6d1,28434,curitiba,PR
652838dc9abee3364cddea48ce9af93c,b4046bcaabc5bfbaa949ae5d05c1d2b4,78291,nova iguacu,RJ
c7fd3344176b7f65cfe2fbefd2d5fcae,ac599dd2b6e8e70baaae71b4945c7cca,04688,uberlandia,MG
da1dc0e3af9fed6dd271ee1dfa92241d,b9072cfa51b2868bdee1cd374aed94d3,14839,sao paulo,SP
c8f6361cddbfce6bba61dfa2adbffe2c,c8faea01501bbdb9f1bd66b4bb8dce1f,65787,curitiba,PR
1199d6aa2ff3ebbf32b5da0b51fc1a7a,c852cf5b0c5a83eccea979f518bd3bfe,47638,belo horizonte,MG
ddb61a86ba58ffbacb3e0bdf07a8a64f,9ff3605c9daacbe8d1e26ce8c795e2a2,57884,florianopolis,SC
3a8bf46523fcf0c7257be5f089a5ab30,cf2c8dec5b01d92dc70a3cc80f3446d0,63836,contagem,MG
deada189eb5fb08fab7c750d0b6ba7c5,355bbaaecf8ef356a7df7c3ecbfb301d,79695,belo horizonte,MG
b0e42fec70cebccf8e82633ebfe3ffeb,4c36f2aee8ff0def4ce3a5f3d1fed955,31090,sao paulo,SP
7bf19939d78cbca49b00527d31ef7fdf,9ed917f9cebe628ca101cda24efa2bad,98290,niteroi,RJ
2b4d895a451ae17bfcccc9bdada1dfbd,bed2a3ffb29f9fdc5ee18876adbdb993,22243,nova iguacu,RJ
cf22bbddd5eca38de88df1a587b6ccff,56ab7ad19e8ab81b1f8bbc3d4101748a,04434,goiania,GO
d208d3dc73daf683cfcee590ba0eed05,b6fe9875aec82bec8ed621fec5fd63ad,24159,santos,SP
8730a6d8acfb7ffeae763ec6aafceede,44d9d8ca21dcda42eb9d3f7fdf3c317f,91846,guarulhos,SP
d06a3aaa1dd8f804807c4ed5f728c3c6,6ad7df7d74ee85f2ac38e0d5b1fee0f9,30065,caxias do sul,RS
25f4f092bdf9dbd6badbcf793cefa501,2caeb1fdeaf51bdc7e92cd03e7df5a87,50996,belo horizonte,MG
8f58cbeb2f1e39cbe3870fcf2e29156f,eaccfe7bf2e57e8ccf1e3ccd1a5f14e8,78605,curitiba,PR
19c1a6fa080ccbfedcea7cbc7adf792e,07dbc82daca9542c4c47a1de2dacbf0a,42377,nova iguacu,RJ
ecabe3ca28ddb8fea6ff929fa6fcfed4,d67efefbf727ace9ac6cbb03e4a365cf,81587,guarulhos,SP
4b79dec4e8bbff189bff1a4dc94df8ca,4f49f1fa20653c0ae0edbdc6bc1fbfbb,11508,campinas,SP
9b244774abfcf0e9dddff7ee8b6ec8b9,0d4be3fb01ebd92bffbeea3a711bcc55,09914,joinville,SC
986820f1a1c7b6fd6e8c034abc6d6dfd,ef0d30c8c14af4dc34d52ec1afce1e54,71988,nova iguacu,RJ
a72e2dd69d6cc869054a9c2ada76c3dc,c3b5d110b0c8cdcbfab84aa6ab8becbd,16965,rio de janeiro,RJ
a33ccd3ae0a555ebb8ed0e2fd6acc88c,d15f48b7bd0d95b633dbe972eace952d,50235,campinas,SP
d0c153fdc0fe619fd3cdbc4e5f79c582,4cb932ad0bb2a2dcdbeb80b5bb8caaf2,69935,rio de janeiro,RJ
5ae1db50a0bb84b829c5bcdf84cc3caf,cb83d25be2bbbdf18dbcad158dfe8e6f,24637,sao paulo,SP
ece94eb60db530503fb78cba116ce7f6,d4ec58216ebfdbcffcaafaac021dfe56,30849,caxias do sul,RS
b0c52ec1ea7d5efea4ad445d32eeedab,0adafddafe64c1babb8f3ffaf04c7d5c,96008,campinas,SP
5f7499a889cffbfbcc4baa092ddb6a5c,12345c2a57cb797edcebf67bb91dafde,09677,guarulhos,SP
9d8d176efd8dbeab93c255aa482ea1ab,f2d1e85a92b307edadec2ebcaad9ebda,37259,interior,PB
b98560bc7a0eea0965089c83a88595ae,bf6ab9c46ed5d401b425ff53a76bfab7,90948,curitiba,PR
1b1a4cbc2a5a9a0aabfae67d0eb5e4dd,42d7362b00bad8132defd1efb25fbab9,76657,campinas,SP
08f50fcbacb7addc3b9cb9bbadd8d71f,c4fa36972e0e30240e8adc14f0eeecae,96947,feira de santana,BA
ce98fc5016ef2fb4b5d3a92e7aed3387,3f976f78a9fdc4ae5f98ffdbf664c0cf,79110,londrina,PR
ebcc2a35d556cc417aadfc2e0b8be7d9,e2aacedd1b7c7f3effac19b37aac589f,45486,campinas,SP
a48ccfb559fc29847ea37cbd9e5f3a1a,5d3c67b6a7a4cacdffe8db514f5ae1ee,45254,guarulhos,SP
d0de58f26db4bae05b78377d5fbbdddb,0c63de18fdd553fe7b43bbc6fb2ff3ee,90356,niteroi,RJ
1bf4c307ff6acea3420fdddd501b2cae,48a348fee4e443f9dfdd9bdcf8ecbef0,72439,sao paulo,SP
9c0fb8acbd1686ca9d1b3c9f2bef2993,cf4a5fdbf2297b8bbe88aece3d3f96a9,31289,contagem,MG
3df0a0aabda4e99d0d6dc441730cd712,f36efccfa70a7dcac1a2c79441cfb1fd,46856,guarulhos,SP
9c5cdedaaabd5642aba4d917b4ef516c,a278cfc4ceaa023addabe1bcec0c7eb1,85803,florianopolis,SC
60fdcc8ddaf609a59e462bbe90ab4eab,b3dcee2fafb0efd1a1be6c6d74679236,66665,curitiba,PR
fc2bc5ebc36db10d1818fddf9774ab1e,ac2bf26eaae3d574e7c7a12ac67cb8f2,43776,porto alegre,RS
bb89dcf87bdb9bb5e1ecadacc3f12ba8,ae1bddd033b8c4e6ce6e9f710f8268c1,10374,contagem,MG
cf2609cdf89433cc796d20e3def23bcd,fed99c8490aaf5ec00a8cf1abca6bbd5,65334,sao paulo,SP
fbcddb09dc77f63fd6b5dcce6a0a21b5,d65adeae83b53b0ffdcca98ef3cc15c1,78900,niteroi,RJ
86aab8fa3d0e9eff0eef9ec752e8baac,47f3cec022946402eeceef2c2edcfdf5,05119,niteroi,RJ
e19fafea5b618f5b31f48e2b9d29501a,b0ae0083780faa8ab148fb2bf761fe8c,66398,guarulhos,SP
1aae3084fdd71da34fda1b6bc9f01b02,beaed3ce03eae1f2316ba3db2ab4b9bf,15307,santo andre,SP
7fc3cbad7239fc9e02cdb0a031ed9baf,4eb9ed03aedb7052b27ab4ae64bffa3e,79554,belo horizonte,MG
1845dd921b30b159c9ad525594d1c194,d38a47570c62a9a463bedcc59bc4aa09,17888,interior,PA
594eeed90fab98bf2a1af8475f0e3acc,fa3f4ddf0d8fb6afdc4fd7ebe818a08e,45256,contagem,MG
1f4f52aecf4a475e617ab2feb6dbebe1,da1d6f26fadbd6fb279e61d5ee97e7df,35339,contagem,MG
962b35afa17a3ef6fcfe3506254c0678,b36e8a3a70af7fa6efc3cd9fad3c68c9,15998,sao paulo,SP
7d4bba41ceff8adb1e8f980769c4da99,3ada9cd36fb7ec80e63ace4c6ac6caa4,95896,rio de janeiro,RJ
36ee2e63de0aafd7a95ffc8a05c3af71,7df16e14dad376cb5f7b7336b9e34bcb,07430,salvador,BA
9e2207f39fbf36a22ff64f9a20a940ed,ad06022dc4e03a6c7cbdb1cabff3a0fe,09190,nova iguacu,RJ
caf4e2cf9b8a6aba76f1a8aafc48f9cd,be80ee8be28ffad3844c859aaadabe7e,44675,niteroi,RJ
fb3a2a5e0aca03d76daebaa6abbbb0af,d29c903ebd3968acacbac315d8ea61c2,93843,uberlandia,MG
7a0d72777e5ede16707accd5fcf88cb2,e7ba7d79acbcb61f84a2c271ba4be6b9,80951,nova iguacu,RJ
