order_id,payment_sequential,payment_type,payment_installments,payment_value
bdfb1291e4ef723cd8a5c3ce9248a9cd,1,boleto,1,677.44
e8fae3a16dc66d4bb2bc742ecadf55ac,1,credit_card,4,1807.67
7ff2277d6b24b8207bb6bf6bd3dfd980,1,credit_card,2,2623.92
afffdeede2aee537be7adec7bf6e9de4,1,boleto,1,824.81
58a0a72aec5887ccc50aad8a13bfaefa,1,credit_card,1,211.66
eccdad5de3ff452583eddf3dafa81692,1,boleto,1,305.85
bd56f1d94eac845c018fe7e9ce92ebbb,1,boleto,1,112.76
bca79ddb88671173fdcfffc2f280af9d,1,credit_card,1,233.77
c5cbeec6afa83cf6c92ebf815ff91c9e,1,credit_card,1,342.09
dd69ee5bd3ccd02fee20eea099638d1c,1,credit_card,6,284.18
cdd9b06dbaecbec2b75d9ab5104fbaeb,1,credit_card,3,172.02
caf2c725bea2f7c3a78aea1d778292de,1,credit_card,1,1103.6
2d5cb98a4c743ba5448afee1af4d8ab9,1,boleto,1,91.39
3b7edabaffccfe63eb497ebfa3a7dadd,1,credit_card,10,114.41
3b7edabaffccfe63eb497ebfa3a7dadd,2,credit_card,1,114.41
3b7edabaffccfe63eb497ebfa3a7dadd,3,boleto,1,114.4
bcfa56ae4aef020fb3d5e8c4eff9e2cd,1,credit_card,1,72.17
cd6c7fdec5992e3b124fceeb2ea5ce5b,1,credit_card,2,43.79
ddabb0d2ce4b4cb6a6fc6bfdfbfad2b4,1,credit_card,1,204.22
ef4a7af41eb65fb05e81b41bcdbf2665,1,credit_card,1,747.28
f0eafce772dee45dbb3bc2c5f22f4b09,1,credit_card,1,2095.94
5bf9b7eefde65f6f1c5dbb4e37af4bfc,1,credit_card,1,372.78
d4b15fc71addadf2dbdcfdad2c046b62,1,credit_card,1,167.4
c6e817d7339daa0678fdeac95eb08bfd,1,credit_card,1,1541.91
56f778b40f0e1fbb965e5feef964a730,1,credit_card,1,209.98
38a4dadeabea4ffba6abc1bf7bf9d63a,1,credit_card,4,173.6
d3fca60b75dc2bdea5d710c0f230d7af,1,credit_card,3,815.47
ec169ee62eff9df50ce0bfb58ed7777b,1,credit_card,6,302.88
7a2bb3009f1feeb7e8d56766f0a9dcee,1,credit_card,1,405.88
faa640a1a2c92df9adaafce5970dcdec,1,credit_card,1,159.28
81b6ed180a7bd92a58d11cab16e50cd3,1,credit_card,6,382.42
adab7abbb48f35e7bcfa5ef35c2f6f28,1,credit_card,2,230.52
adab7abbb48f35e7bcfa5ef35c2f6f28,2,credit_card,1,230.52
aad259cbc7fa6ee31aa39da6fbbdbce6,1,credit_card,1,166.26
aad259cbc7fa6ee31aa39da6fbbdbce6,2,credit_card,1,166.26
aad259cbc7fa6ee31aa39da6fbbdbce6,3,credit_card,6,166.26
7f793de5bc9afdadda353983ef43e5f1,1,credit_card,3,753.86
f4f56b7cb58eba0aced2ac3a9bc61b4e,1,credit_card,2,179.51
4fab00fb9e1dc7fa88dfccfddebcfabf,1,credit_card,3,73.08
c45ddbb7e4cddf8bb0c9beab584481d9,1,credit_card,6,152.23
7698d8ccfb4bbcebcf64da88ced98d3b,1,credit_card,1,682.68
ba4e3db4b8aa67a1c9fbdeb9bb9e691b,1,credit_card,1,328.04
e264810723a7c25d0c00945f713ab0ce,1,credit_card,1,641.84
ed6a0d93cafcae3a7a0b4d50dba29eb4,1,credit_card,1,63.61
e3ba4cedabe9ab4c5a950bd9f88e316a,1,boleto,1,466.38
dad5e8f6dcfbbff1b1b48cdbc976f6ac,1,credit_card,1,363.72
afccdde7943a3fff675cfd69b617283e,1,credit_card,1,220.41
afccdde7943a3fff675cfd69b617283e,2,credit_card,1,220.41
b818fd59c782217cafcecb6cabfbae1c,1,boleto,1,90.87
9827864b829de54f8b0c4a5d15106d01,1,credit_card,4,2014.44
daecceb66db0bd3fd9aec0d07e9b335f,1,credit_card,3,108.09
b64faee1f7dcdfde915fe85ce2e78a3d,1,credit_card,1,875.03
aab6cef0eaa529aabb7aaab7d31dec82,1,credit_card,1,69.35
44c0f8c4fda0d3d8bc4aac4c3ccdbebe,1,boleto,1,520.08
f6e378dad99c5a0d3fcfdfb8c00ba7b3,1,credit_card,2,471.9
ae08dae9951cddbb8d7ec0ddbca6ce47,1,credit_card,4,402.83
a8c6a2b10bb5cd5c76961e34df2ca7ac,1,credit_card,1,659.66
5ac613fb0014deaae7bd77fd7ddb534f,1,debit_card,1,246.42
c3f33c76eb32104bbf9c91a59301ff2e,1,credit_card,1,157.3
f1b1bcdbb2bf9fad59c9367bfc1cd31b,1,boleto,1,217.01
b3daac71b4a34fa4cdfae0baec3cce5e,1,boleto,1,179.75
