order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
bdfb1291e4ef723cd8a5c3ce9248a9cd,1,f4dcb347c0d7ddb80db27fa3998a528e,0d3f4b952e40a8d3cab779ccd4711c84,2017-03-06 13:47:59,505.74,29.38
bdfb1291e4ef723cd8a5c3ce9248a9cd,2,6c3cbdafcfba0bff40a9cec6084ffebe,d5db5afe4dbc17fb6d23ec84fcda4dee,2017-03-06 13:47:59,119.12,23.2
e8fae3a16dc66d4bb2bc742ecadf55ac,1,41e7816ff7d6aa5b395066079f0ecf90,04fc4306f4de95daac1ae5a0b326043a,2017-06-18 01:53:00,243.12,27.25
e8fae3a16dc66d4bb2bc742ecadf55ac,2,10b6bb4bf4c1e11529ca4b6dd47f07af,35668ab52c0165d3ac3dd1c18ed6ec9e,2017-06-18 01:53:00,285.55,26.96
e8fae3a16dc66d4bb2bc742ecadf55ac,3,6ac1d5ae0cffd8e63c03bd71df57e2cf,33ae99e904ea7489fefcc0e05cc1e22c,2017-06-18 01:53:00,608.63,10.72
e8fae3a16dc66d4bb2bc742ecadf55ac,4,fefedcd4c4e6e171a9f92977221400b7,0ccbf2356b6bde76e679438f8dbe267a,2017-06-18 01:53:00,588.67,16.77
7ff2277d6b24b8207bb6bf6bd3dfd980,1,caef9e21de4d2a3ba5f95cd8e18ba8de,c16d0ce40ad3f6753ac3a9cd77b8c01b,2017-12-31 06:19:34,349.69,15.78
7ff2277d6b24b8207bb6bf6bd3dfd980,2,0e1c32fcedfca2a8e1bf4eae2cbfff7f,789df86ef0d9face3d76ac6fa4b870c4,2017-12-31 06:19:34,1488.09,21.2
7ff2277d6b24b8207bb6bf6bd3dfd980,3,5cd7b0b52d53103bbcbdbbcddd7dbfb1,fc2b09827d12fdab403efdfea9b88cbc,2017-12-31 06:19:34,736.96,12.2
afffdeede2aee537be7adec7bf6e9de4,1,3eaffabb77c0ba43bd7b8eced9e41dc4,3e683bc4c91a4beeaf5cf66bca1e99a0,2017-09-24 03:47:28,794.46,30.35
58a0a72aec5887ccc50aad8a13bfaefa,1,9dfe76dadadb8acc7ee4e3a7883347b4,9f350bcbe49745be28660ab842a0bf67,2018-04-13 08:13:43,203.38,8.28
eccdad5de3ff452583eddf3dafa81692,1,adefe38241818fda05c970d0b446e2df,e24e3ced4ffcfd98f45c76d11ec340ba,2018-04-19 02:26:26,286.79,19.06
bd56f1d94eac845c018fe7e9ce92ebbb,1,4d13e6fa10fdb088a9c1f64c6d926b94,dfb790a3df33097c0ea70cf09e4b9feb,2017-05-25 18:18:44,79.62,33.14
bca79ddb88671173fdcfffc2f280af9d,1,a0fdbd411f5a381ee8e24a3c0f0e4bae,57c018fc5ad9958b7fdb6676ca05e630,2018-06-09 01:32:18,210.25,23.52
c5cbeec6afa83cf6c92ebf815ff91c9e,1,7a3c0a359bbeb7dda0b7addc86aca94e,c4d8d177f903b24dc7bea77fae9dae2c,2017-04-19 21:17:53,335.51,6.58
